Type,Part Number,GPU,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,RTX 3090,1,229,44966,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081
GPU,,Nvidia,Quadro RTX A6000,2,207,1,https://gpu.userbenchmark.com/SpeedTest/1300600/NVIDIA-Quadro-RTX-A6000
GPU,,Nvidia,RTX 3080,3,204,118803,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,,AMD,RX 6900-XT,4,192,5409,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091
GPU,,Nvidia,Titan RTX,5,187,1575,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
GPU,900-1G150-2500-000,Nvidia,NVidia Titan RTX 24GB,5,187,1575,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
GPU,,Nvidia,RTX 2080-Ti,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ZT-T20810D-10P,Zotac,Zotac RTX 2080 Ti 11GB GAMING AMP SPECTRA RGB,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,DUAL-RTX2080TI-O11G,Asus,Asus RTX 2080 Ti 11GB Dual-fan OC,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,RTX 2080 Ti GAMING X TRIO,MSI,MSI RTX 2080 Ti 11GB Gaming,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TGAMING OC-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Gaming OC,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ROG-STRIX-RTX2080TI-O11G-GAMING,Asus,Asus RTX 2080 Ti 11GB ROG Strix,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2487-KR,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,11G-P4-2281-KR,EVGA,EVGA RTX 2080 Ti 11GB Black,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,GV-N208TAORUS X-11GC,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,6,176,248954,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,,Nvidia,Quadro RTX 8000,7,176,203,https://gpu.userbenchmark.com/SpeedTest/762332/NVIDIA-Quadro-RTX-8000
GPU,,Nvidia,Quadro RTX 6000,8,173,551,https://gpu.userbenchmark.com/SpeedTest/736712/NVIDIA-Quadro-RTX-6000
GPU,,AMD,RX 6800-XT,9,161,8339,https://gpu.userbenchmark.com/AMD-RX-6800-XT/Rating/4089
GPU,,Nvidia,Titan V,10,160,729,https://gpu.userbenchmark.com/SpeedTest/395529/NVIDIA-TITAN-V
GPU,,Nvidia,RTX 3070,11,153,161778,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083
GPU,,Nvidia,Titan Xp,12,143,5480,https://gpu.userbenchmark.com/SpeedTest/265423/NVIDIA-TITAN-Xp
GPU,,Nvidia,RTX 2080S (Super),13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Gaming,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08GP43183KR,EVGA,EVGA RTX 2080 Super 8GB XC Ultra,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Gaming X Trio,MSI,MSI RTX 2080 Super 8GB Gaming X,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,ROG-STRIX-RTX2080S-A8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix A8G,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,ROG-STRIX-RTX2080S-O8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix O8G,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Ventus XS OC,MSI,MSI RTX 2080 Super 8GB Ventus XS OC,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 SUPER VENTUS OC,MSI,MSI RTX 2080 Super 8GB Ventus OC,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,Gv-N208SWF3OC-8GD,Gigabyte,Gigabyte RTX 2080 Super 8GB Windforce,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-3081-KR,EVGA,EVGA RTX 2080 Super 8GB Black Gaming,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SAORUS-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Aorus Windforce,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-2083-KR,EVGA,EVGA RTX 2080 Super 8GB KO Dual,13,138,173628,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,,Nvidia,GTX 1080-Ti,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6390-KR,EVGA,EVGA GTX 1080 Ti 11GB Founders Edition,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GV-N108TD5X-B,Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX 1080 Ti Founders Edition,Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ZT-P10810A-10P,Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX1080TI-FE,Asus,Asus GTX 1080 Ti 11GB Founders Edition,14,138,588936,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
